Age,Age_Group,Gender,BMI_Category,Possible_Diseases,Health_Advice,Risk_Level,Diet_Plan,Detailed_Diet_Plan,Exercise_Yoga_Plan,Yoga_Exercise_Links
19,18-24,Male,Normal,"Generally healthy — focus on fitness & nutrition, Manage study/work stress, Maintain sleep cycle","You are fit, no problem. But always take proper diet and do yoga/exercise to remain fit.",Low,"Balanced diet with fruits, vegetables, whole grains, and yoga/exercise 30 min daily.",Breakfast: Vegetable upma / poha + milk / green tea. Lunch: 2 chapatis + dal + sabzi + salad + small bowl rice. Evening Snack: Fruit or roasted chana / green tea. Dinner: Vegetable soup + chapati + paneer / tofu / fish (small portion).,"20-30 min yoga/exercise: Surya Namaskar (8-12 rounds), Tadasana, Trikonasana, Brisk walking or skipping, Anulom Vilom & meditation.",https://www.youtube.com/watch?v=8BcPHWGQO44 | https://www.youtube.com/watch?v=v7AYKMP6rOE
47,45-54,Male,Overweight,"Hypertension, Diabetes, Fatty liver, Back pain, Elevated stress, Poor sleep","Control portion size, reduce sugar and oil; prefer high-fiber meals and daily walks.",Medium,"Low sugar, low oil, high-fiber meals. Include salads, fruits, and avoid junk food.",Breakfast: Oats porridge / vegetable smoothie + green tea. Lunch: 2 chapatis + dal + sabzi + salad (no rice). Evening Snack: Roasted makhana / green tea / sprouts. Dinner: Light khichdi / vegetable soup + 1 chapati + tofu / grilled fish.,"25-30 min yoga/exercise: Surya Namaskar (8-10 rounds), Kapalbhati, Pawanmuktasana, Brisk walking, spot jogging, Deep breathing for stress control.",https://youtu.be/NkNuUBARm-o | https://youtu.be/EUxK4luFViI
23,18-24,Female,Normal,"Healthy — maintain balanced diet & exercise, Handle academic or work stress, Sleep balance","You are fit, no problem. But always take proper diet and do yoga/exercise to remain fit.",Low,"Balanced diet with fruits, vegetables, whole grains, and yoga/exercise 30 min daily.",Breakfast: Vegetable upma / poha + milk / green tea. Lunch: 2 chapatis + dal + sabzi + salad + small bowl rice. Evening Snack: Fruit or roasted chana / green tea. Dinner: Vegetable soup + chapati + paneer / tofu / fish (small portion).,"20-30 min yoga/exercise: Surya Namaskar (8-12 rounds), Tadasana, Trikonasana, Brisk walking or skipping, Anulom Vilom & meditation.",https://www.youtube.com/watch?v=8BcPHWGQO44 | https://www.youtube.com/watch?v=v7AYKMP6rOE
27,25-34,Female,Overweight,"PCOS, Thyroid disorder, Gestational risk, Back pain, Fatty liver, Mental fatigue","Control portion size, reduce sugar and oil; prefer high-fiber meals and daily walks.",Medium,"Low sugar, low oil, high-fiber meals. Include salads, fruits, and avoid junk food.",Breakfast: Oats porridge / vegetable smoothie + green tea. Lunch: 2 chapatis + dal + sabzi + salad (no rice). Evening Snack: Roasted makhana / green tea / sprouts. Dinner: Light khichdi / vegetable soup + 1 chapati + tofu / grilled fish.,"25-30 min yoga/exercise: Surya Namaskar (8-10 rounds), Kapalbhati, Pawanmuktasana, Brisk walking, spot jogging, Deep breathing for stress control.",https://youtu.be/NkNuUBARm-o | https://youtu.be/EUxK4luFViI
18,18-24,Female,Normal,"Healthy — maintain balanced diet & exercise, Handle academic or work stress, Sleep balance","You are fit, no problem. But always take proper diet and do yoga/exercise to remain fit.",Low,"Balanced diet with fruits, vegetables, whole grains, and yoga/exercise 30 min daily.",Breakfast: Vegetable upma / poha + milk / green tea. Lunch: 2 chapatis + dal + sabzi + salad + small bowl rice. Evening Snack: Fruit or roasted chana / green tea. Dinner: Vegetable soup + chapati + paneer / tofu / fish (small portion).,"20-30 min yoga/exercise: Surya Namaskar (8-12 rounds), Tadasana, Trikonasana, Brisk walking or skipping, Anulom Vilom & meditation.",https://www.youtube.com/watch?v=8BcPHWGQO44 | https://www.youtube.com/watch?v=v7AYKMP6rOE
19,18-24,Male,Normal,"Generally healthy — focus on fitness & nutrition, Manage study/work stress, Maintain sleep cycle","You are fit, no problem. But always take proper diet and do yoga/exercise to remain fit.",Low,"Balanced diet with fruits, vegetables, whole grains, and yoga/exercise 30 min daily.",Breakfast: Vegetable upma / poha + milk / green tea. Lunch: 2 chapatis + dal + sabzi + salad + small bowl rice. Evening Snack: Fruit or roasted chana / green tea. Dinner: Vegetable soup + chapati + paneer / tofu / fish (small portion).,"20-30 min yoga/exercise: Surya Namaskar (8-12 rounds), Tadasana, Trikonasana, Brisk walking or skipping, Anulom Vilom & meditation.",https://www.youtube.com/watch?v=8BcPHWGQO44 | https://www.youtube.com/watch?v=v7AYKMP6rOE
40,35-44,Female,Overweight,"Thyroid issues, PCOS, Joint pain, Fatty liver, Stress, Sleep disturbance","Control portion size, reduce sugar and oil; prefer high-fiber meals and daily walks.",Medium,"Low sugar, low oil, high-fiber meals. Include salads, fruits, and avoid junk food.",Breakfast: Oats porridge / vegetable smoothie + green tea. Lunch: 2 chapatis + dal + sabzi + salad (no rice). Evening Snack: Roasted makhana / green tea / sprouts. Dinner: Light khichdi / vegetable soup + 1 chapati + tofu / grilled fish.,"25-30 min yoga/exercise: Surya Namaskar (8-10 rounds), Kapalbhati, Pawanmuktasana, Brisk walking, spot jogging, Deep breathing for stress control.",https://youtu.be/NkNuUBARm-o | https://youtu.be/EUxK4luFViI
58,55-60,Female,Underweight,"Osteoporosis, Menopause fatigue, Weak immunity, Depression risk",Increase calorie intake with protein & dairy; eat small meals often and do strength exercises.,Medium,"High-calorie, high-protein diet (milk, eggs, nuts, paneer, whole grains). Eat every 3-4 hours.",Breakfast: Milk with oats or banana shake + 2 boiled eggs / paneer toast (veg). Lunch: 2 parathas + dal + rice + paneer curry / chicken curry + salad. Evening Snack: Dry fruits + fruit smoothie. Dinner: Chapati + sabzi + curd + boiled egg / paneer + ghee on chapati.,"15-20 min yoga/exercise: Surya Namaskar (slow, 4-6 rounds), Bhujangasana, Vajrasana, Light strength exercises (squats, wall push-ups), Deep breathing (Pranayama).",https://www.youtube.com/watch?v=v7AYKMP6rOE | https://www.youtube.com/watch?v=8BcPHWGQO44
57,55-60,Male,Overweight,"High BP, Diabetes, Cardiac strain, Joint stiffness, Liver issues, Stress","Control portion size, reduce sugar and oil; prefer high-fiber meals and daily walks.",Medium,"Low sugar, low oil, high-fiber meals. Include salads, fruits, and avoid junk food.",Breakfast: Oats porridge / vegetable smoothie + green tea. Lunch: 2 chapatis + dal + sabzi + salad (no rice). Evening Snack: Roasted makhana / green tea / sprouts. Dinner: Light khichdi / vegetable soup + 1 chapati + tofu / grilled fish.,"25-30 min yoga/exercise: Surya Namaskar (8-10 rounds), Kapalbhati, Pawanmuktasana, Brisk walking, spot jogging, Deep breathing for stress control.",https://youtu.be/NkNuUBARm-o | https://youtu.be/EUxK4luFViI
46,45-54,Male,Overweight,"Hypertension, Diabetes, Fatty liver, Back pain, Elevated stress, Poor sleep","Control portion size, reduce sugar and oil; prefer high-fiber meals and daily walks.",Medium,"Low sugar, low oil, high-fiber meals. Include salads, fruits, and avoid junk food.",Breakfast: Oats porridge / vegetable smoothie + green tea. Lunch: 2 chapatis + dal + sabzi + salad (no rice). Evening Snack: Roasted makhana / green tea / sprouts. Dinner: Light khichdi / vegetable soup + 1 chapati + tofu / grilled fish.,"25-30 min yoga/exercise: Surya Namaskar (8-10 rounds), Kapalbhati, Pawanmuktasana, Brisk walking, spot jogging, Deep breathing for stress control.",https://youtu.be/NkNuUBARm-o | https://youtu.be/EUxK4luFViI
